Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
,F,Graduate,30000.0,A,,Low,11.0,Engineering,Private,High,Low,Yes,Medium,High,Medium,Positive,Low,26.0,No,4.0,Balanced,High,7.0,Yes,,No,Yes,,No,No,High,6.0,Low,C
19.0,M,Graduate,60000.0,A,71.0,High,17.0,,Public,Low,Medium,Yes,High,Medium,High,Positive,Low,66.0,Yes,7.0,Balanced,Medium,9.0,No,Neutral,Yes,No,Kinesthetic,Yes,,Medium,5.0,Low,C
22.0,F,Some College,75000.0,A,92.0,Medium,9.0,Engineering,,Low,Low,Yes,Low,,Low,Neutral,Medium,63.0,Yes,9.0,Unhealthy,Medium,2.0,Yes,Neutral,No,Yes,,Yes,Yes,Low,6.0,High,
22.0,M,,30000.0,C,91.0,Low,10.0,Law,Private,,,No,Medium,Low,High,Neutral,Low,89.0,No,8.0,Unhealthy,,6.0,Yes,Negative,,Yes,Visual,Yes,No,Low,2.0,Medium,C
18.0,M,Graduate,75000.0,B,89.0,Medium,5.0,Engineering,Public,Low,Medium,No,Low,Low,Low,Negative,Low,61.0,No,9.0,Unhealthy,High,9.0,,Neutral,Yes,No,Kinesthetic,Yes,No,Medium,1.0,Low,B
22.0,F,High School,60000.0,A,86.0,Medium,15.0,Law,Public,,,No,Low,,Low,Negative,High,77.0,Yes,6.0,Healthy,,10.0,No,Negative,No,No,,No,Yes,High,2.0,High,
19.0,M,Some College,30000.0,B,82.0,Medium,18.0,Medicine,,High,Medium,Yes,High,High,Low,Negative,High,71.0,No,5.0,Unhealthy,Medium,2.0,,Neutral,No,,Kinesthetic,Yes,No,High,,Medium,A
22.0,M,Some College,50000.0,A,,High,7.0,Science,Private,Medium,High,Yes,Medium,Low,Low,Negative,Low,64.0,,4.0,Unhealthy,,2.0,,,Yes,Yes,Kinesthetic,Yes,No,Medium,3.0,Medium,
21.0,,High School,75000.0,,79.0,Medium,12.0,Arts,Public,Medium,Low,Yes,High,High,Medium,Neutral,Low,50.0,No,6.0,Balanced,Medium,,Yes,Negative,Yes,No,Kinesthetic,No,,Low,,High,B
22.0,M,Some College,60000.0,B,,Low,15.0,Engineering,Public,High,Medium,No,High,Medium,Low,Negative,Low,,Yes,5.0,Balanced,Medium,2.0,,Neutral,Yes,Yes,Visual,Yes,Yes,Low,5.0,Medium,B
19.0,,,50000.0,A,92.0,Low,12.0,Science,,Medium,Medium,Yes,,Medium,Low,Positive,Low,,No,5.0,Unhealthy,High,6.0,No,Negative,No,Yes,,No,No,Low,5.0,Medium,
22.0,F,High School,,C,97.0,Medium,,Law,Private,Medium,High,Yes,Low,High,Low,,Low,90.0,Yes,7.0,Healthy,Low,10.0,Yes,Positive,No,No,Auditory,Yes,No,High,2.0,,A
21.0,M,,60000.0,C,85.0,High,18.0,,Private,High,High,No,,High,Medium,Negative,Low,32.0,No,7.0,Balanced,Low,6.0,No,Negative,No,,Visual,,No,Low,1.0,High,
,F,Some College,50000.0,A,88.0,Low,17.0,Engineering,Public,High,,No,Medium,Low,Medium,Negative,Low,42.0,Yes,7.0,,High,8.0,No,Neutral,Yes,Yes,Auditory,No,No,High,1.0,,B
18.0,F,High School,50000.0,A,81.0,Medium,15.0,Science,Public,Low,,,Medium,Low,Low,,Medium,27.0,Yes,5.0,Healthy,High,6.0,Yes,Neutral,Yes,Yes,Visual,Yes,Yes,High,4.0,High,
22.0,F,College,,B,97.0,High,6.0,Science,Private,Medium,Medium,Yes,Low,Low,Low,Positive,High,81.0,No,9.0,Healthy,Medium,3.0,No,Positive,No,No,Kinesthetic,Yes,,Low,5.0,,A
22.0,M,Graduate,40000.0,C,83.0,High,,Engineering,Public,,Medium,No,High,High,Medium,Negative,Medium,74.0,Yes,8.0,Healthy,High,6.0,Yes,Positive,No,Yes,,No,,Low,,High,B
19.0,M,College,40000.0,B,91.0,Medium,18.0,Arts,Public,Low,Medium,No,High,Low,Low,Positive,High,21.0,Yes,4.0,Healthy,High,6.0,Yes,Positive,No,Yes,Visual,No,,Medium,5.0,High,B
,,Graduate,50000.0,A,83.0,Medium,12.0,Arts,Public,High,Medium,Yes,Low,Low,Medium,Positive,High,31.0,Yes,,Balanced,Medium,,Yes,Negative,No,Yes,Auditory,No,Yes,Medium,,High,C
,F,College,40000.0,B,71.0,High,18.0,Business,Private,High,High,No,High,Medium,Medium,Neutral,Medium,56.0,No,9.0,Balanced,Medium,7.0,No,,No,Yes,Visual,,No,Low,4.0,High,C
21.0,F,College,60000.0,C,100.0,Low,13.0,Law,Private,High,Medium,No,High,High,High,Neutral,Low,,Yes,5.0,Healthy,High,7.0,No,Negative,No,Yes,Kinesthetic,Yes,Yes,Medium,2.0,High,A
22.0,F,Graduate,50000.0,B,93.0,Medium,11.0,Business,Private,Medium,High,Yes,Medium,,,Neutral,,97.0,No,9.0,Unhealthy,,7.0,No,Positive,No,No,,No,No,Medium,,High,B
22.0,F,Some College,40000.0,B,75.0,Medium,7.0,Science,,Medium,Medium,No,High,Low,,Positive,Medium,74.0,No,5.0,Unhealthy,Low,8.0,No,Neutral,Yes,Yes,Kinesthetic,,Yes,High,3.0,Medium,C
19.0,M,Some College,,A,,High,,Arts,Private,Low,Medium,Yes,High,Medium,High,Negative,Low,87.0,No,4.0,Balanced,Low,7.0,No,Negative,No,,Visual,No,Yes,High,6.0,Medium,C
19.0,F,,50000.0,B,97.0,Medium,16.0,Arts,Private,Medium,,,High,Low,High,Negative,Medium,71.0,No,8.0,Unhealthy,High,,No,Negative,Yes,Yes,Kinesthetic,No,Yes,High,3.0,High,
18.0,M,Some College,40000.0,A,96.0,Medium,13.0,Science,Public,Low,High,No,,High,,Neutral,Low,79.0,Yes,,Unhealthy,,5.0,,Positive,No,Yes,Auditory,Yes,Yes,,4.0,Medium,C
18.0,F,Some College,40000.0,B,78.0,Low,18.0,,Public,High,Medium,No,Low,Low,,Negative,High,40.0,Yes,8.0,Balanced,,9.0,Yes,,Yes,No,Visual,Yes,Yes,Low,,Medium,A
19.0,F,Some College,50000.0,B,82.0,High,14.0,Business,Private,Low,Low,No,,Medium,Low,Positive,Medium,47.0,Yes,5.0,Healthy,Low,10.0,Yes,Negative,No,Yes,Kinesthetic,Yes,Yes,Medium,6.0,Low,
18.0,F,,30000.0,B,74.0,High,7.0,Engineering,Private,Low,High,,Low,High,,Positive,,44.0,Yes,5.0,Healthy,High,3.0,Yes,Positive,No,Yes,Visual,No,No,High,3.0,High,A
21.0,M,College,40000.0,B,92.0,Low,8.0,Science,Public,Low,High,No,Medium,High,High,Negative,Medium,99.0,No,4.0,,Low,7.0,Yes,Negative,Yes,No,Auditory,Yes,Yes,Low,,High,C
20.0,M,Graduate,75000.0,A,91.0,Medium,15.0,Medicine,Private,High,Medium,No,,Medium,Medium,Negative,Low,35.0,Yes,6.0,Healthy,Medium,9.0,Yes,Neutral,Yes,,Kinesthetic,Yes,Yes,High,2.0,Low,C
21.0,,College,75000.0,A,98.0,,9.0,Law,Private,Low,Medium,Yes,High,High,Medium,Positive,Low,32.0,No,,Balanced,Low,2.0,Yes,Neutral,Yes,,Kinesthetic,No,Yes,High,5.0,,B
22.0,F,Some College,50000.0,B,,Medium,,Business,Private,Medium,Low,Yes,Low,High,Low,Negative,Low,96.0,No,7.0,Healthy,Medium,10.0,,Neutral,Yes,Yes,Visual,No,,,6.0,Medium,B
21.0,M,High School,30000.0,C,80.0,High,16.0,Science,Public,Medium,Medium,,Low,,Medium,,Low,74.0,No,6.0,Balanced,High,4.0,No,Positive,No,No,Auditory,No,No,High,,Medium,
20.0,F,College,60000.0,C,72.0,Medium,18.0,,Public,High,,No,Medium,Medium,High,,Medium,58.0,Yes,5.0,Unhealthy,,6.0,,Positive,Yes,Yes,,Yes,,Medium,4.0,Low,B
20.0,F,Some College,60000.0,C,79.0,Low,11.0,Arts,Public,Low,Medium,Yes,Low,High,High,,Low,,Yes,7.0,Balanced,Low,,,Negative,Yes,Yes,Auditory,No,No,Low,5.0,Low,B
22.0,M,,75000.0,C,81.0,Low,18.0,Arts,Private,High,High,Yes,Low,Medium,High,Positive,Low,41.0,No,8.0,Healthy,High,3.0,,Negative,No,Yes,Auditory,Yes,No,Low,6.0,High,C
21.0,M,College,,A,100.0,High,8.0,Science,Private,Medium,High,No,Low,Medium,High,Positive,Medium,51.0,Yes,8.0,Balanced,High,2.0,Yes,Positive,Yes,No,Auditory,Yes,No,High,,,A
,M,Some College,30000.0,C,84.0,Low,7.0,Medicine,Private,Medium,Medium,No,Low,High,Medium,Negative,Low,72.0,Yes,4.0,Balanced,Low,7.0,Yes,Positive,Yes,No,Visual,Yes,Yes,Low,,High,A
18.0,,Some College,50000.0,A,83.0,High,5.0,Science,Public,Low,High,,Low,High,Medium,Neutral,Low,77.0,No,,Unhealthy,High,2.0,No,Neutral,No,No,,No,No,High,1.0,,C
19.0,M,Graduate,40000.0,B,70.0,Medium,18.0,Business,,Low,Low,No,Medium,Low,Low,Neutral,Low,45.0,Yes,9.0,Unhealthy,High,3.0,No,Neutral,Yes,,Kinesthetic,No,,Medium,1.0,High,A
19.0,,Graduate,50000.0,B,74.0,High,13.0,Medicine,Private,Medium,High,Yes,Medium,Medium,Low,Positive,Medium,43.0,,7.0,Unhealthy,,3.0,,Negative,No,,Visual,No,Yes,Low,5.0,Medium,C
19.0,F,College,40000.0,C,79.0,High,9.0,Medicine,Public,Medium,High,,Low,High,High,Negative,Medium,69.0,No,4.0,Balanced,Low,9.0,Yes,Negative,Yes,Yes,Auditory,,Yes,Medium,4.0,High,A
18.0,M,Some College,,B,,,13.0,Arts,Private,Low,Low,Yes,Low,Medium,High,Positive,High,80.0,Yes,7.0,Balanced,Medium,7.0,Yes,Negative,Yes,No,Kinesthetic,Yes,Yes,Medium,4.0,Low,B
20.0,M,High School,50000.0,A,85.0,High,6.0,Science,Public,High,Medium,No,Low,Low,Low,Neutral,,83.0,Yes,5.0,Balanced,Low,9.0,Yes,Negative,,No,Visual,Yes,Yes,Low,3.0,Low,B
21.0,F,High School,40000.0,A,,Low,5.0,Law,Public,Low,High,No,Medium,Medium,High,Neutral,Low,62.0,No,7.0,Healthy,High,10.0,No,Neutral,No,No,Auditory,,No,High,6.0,High,B
19.0,F,High School,30000.0,C,76.0,Medium,5.0,Medicine,Private,,Low,Yes,High,Low,High,Negative,Low,49.0,Yes,5.0,Unhealthy,Medium,,Yes,Negative,No,No,Visual,Yes,Yes,Medium,5.0,Low,B
22.0,,,75000.0,C,93.0,Medium,12.0,,Private,High,High,Yes,Medium,High,High,Neutral,High,83.0,Yes,4.0,Unhealthy,Medium,5.0,Yes,Negative,Yes,Yes,,,No,Low,2.0,Medium,C
21.0,F,,75000.0,B,75.0,High,17.0,Law,Public,High,High,Yes,Medium,Medium,High,Negative,,36.0,No,6.0,Balanced,Low,,No,Positive,No,No,Visual,Yes,No,,3.0,Low,B
21.0,F,High School,75000.0,B,79.0,Medium,11.0,Arts,Private,Low,High,Yes,Medium,High,Low,Positive,Low,49.0,Yes,6.0,Unhealthy,Medium,3.0,Yes,Positive,Yes,Yes,Auditory,No,,Low,2.0,Medium,B
19.0,M,,75000.0,A,72.0,Medium,17.0,Arts,Public,,High,Yes,High,High,Low,,Medium,23.0,No,5.0,Unhealthy,Medium,4.0,Yes,Positive,,,,No,,Medium,6.0,Medium,C
22.0,M,High School,50000.0,A,98.0,Low,12.0,Science,,High,High,,High,,Low,Positive,Low,54.0,No,5.0,Balanced,Medium,7.0,No,Negative,Yes,No,Auditory,No,Yes,High,1.0,Low,A
22.0,F,College,40000.0,B,85.0,Medium,7.0,Law,Private,High,Medium,No,Low,Medium,High,Neutral,,37.0,Yes,7.0,Unhealthy,Low,9.0,No,Negative,Yes,,Auditory,No,Yes,High,5.0,,A
,F,,40000.0,A,82.0,High,8.0,Arts,Private,High,High,No,Low,Low,Medium,Neutral,Low,20.0,No,6.0,,Low,7.0,No,Positive,Yes,Yes,Auditory,No,Yes,Medium,4.0,High,B
22.0,,Some College,30000.0,C,91.0,,11.0,Law,Public,Medium,High,Yes,High,High,Medium,Neutral,High,80.0,Yes,5.0,Balanced,Medium,9.0,No,Neutral,Yes,Yes,Auditory,Yes,No,Low,3.0,High,A
19.0,F,High School,60000.0,A,79.0,Low,6.0,Business,Private,High,Medium,No,Medium,Low,,Positive,Medium,89.0,Yes,7.0,Unhealthy,Medium,9.0,Yes,Positive,Yes,Yes,Visual,No,Yes,High,4.0,,A
22.0,M,College,75000.0,C,72.0,Medium,9.0,Medicine,Public,Medium,Low,No,Low,High,Low,,High,55.0,Yes,6.0,Unhealthy,Medium,9.0,Yes,Positive,Yes,Yes,Visual,Yes,No,Low,,Low,B
18.0,F,Some College,75000.0,B,,Low,19.0,Arts,Public,Low,High,Yes,High,Medium,Medium,Negative,Low,91.0,Yes,8.0,Healthy,Low,9.0,No,Negative,No,Yes,Auditory,Yes,Yes,Low,6.0,High,B
22.0,F,High School,,B,98.0,Low,14.0,,Private,Low,,Yes,Low,High,High,Neutral,High,76.0,Yes,6.0,Balanced,,,Yes,Positive,Yes,No,Visual,Yes,Yes,High,6.0,Medium,C
19.0,,High School,50000.0,C,,Medium,9.0,Science,Public,Low,Medium,No,High,Low,High,Positive,Low,37.0,No,6.0,Unhealthy,High,10.0,No,Neutral,No,Yes,Auditory,No,Yes,Low,3.0,High,A
22.0,M,Graduate,30000.0,C,72.0,Medium,5.0,Medicine,Private,Low,High,,Medium,Medium,Low,Positive,Low,54.0,No,9.0,Unhealthy,High,5.0,No,Negative,No,No,Auditory,No,No,High,1.0,Low,C
22.0,F,,,A,92.0,High,16.0,Business,Public,Medium,High,,High,High,Medium,Neutral,High,65.0,,9.0,Unhealthy,,7.0,No,Neutral,,Yes,Visual,No,Yes,Medium,6.0,High,A
,F,Graduate,60000.0,C,91.0,Medium,,Engineering,Private,Low,Low,No,,High,,Negative,Medium,93.0,No,6.0,Unhealthy,High,7.0,Yes,Neutral,No,Yes,Kinesthetic,Yes,Yes,High,1.0,Medium,C
20.0,M,Some College,40000.0,B,93.0,Medium,18.0,Science,Public,High,Low,No,High,Medium,High,Negative,Low,63.0,No,6.0,Balanced,Medium,8.0,Yes,Negative,No,No,Kinesthetic,No,Yes,High,5.0,Low,A
,F,Graduate,60000.0,C,97.0,High,19.0,Arts,Public,Medium,Low,No,,High,Low,Positive,High,85.0,Yes,8.0,Unhealthy,Low,5.0,,Positive,Yes,Yes,Auditory,No,Yes,High,4.0,High,B
20.0,M,High School,50000.0,A,79.0,Medium,20.0,Arts,Public,Medium,High,No,Medium,High,Low,,Low,59.0,Yes,4.0,Unhealthy,High,7.0,Yes,Negative,Yes,Yes,Visual,No,No,High,2.0,Medium,B
21.0,F,High School,75000.0,B,83.0,High,18.0,Science,Private,Low,Medium,Yes,Low,,Medium,Positive,High,37.0,Yes,9.0,Healthy,High,2.0,No,Negative,No,Yes,Visual,Yes,Yes,High,,High,A
20.0,M,,30000.0,B,94.0,High,7.0,Law,Public,High,Low,No,Medium,High,,Positive,Medium,79.0,Yes,5.0,Healthy,High,8.0,Yes,Neutral,No,No,Kinesthetic,,Yes,Medium,,Medium,A
22.0,F,Some College,75000.0,,76.0,Low,,Medicine,Public,Medium,High,No,Medium,Low,High,Neutral,Low,96.0,Yes,6.0,Unhealthy,Medium,8.0,Yes,Neutral,Yes,Yes,Visual,No,Yes,Low,1.0,,
22.0,M,High School,30000.0,,97.0,Low,19.0,,,Medium,Medium,Yes,Low,Medium,High,Neutral,,96.0,No,6.0,Unhealthy,Low,5.0,No,,Yes,Yes,Visual,No,Yes,,2.0,Low,C
18.0,M,High School,50000.0,A,72.0,Low,5.0,Law,Private,High,High,No,Low,Medium,Medium,Positive,Medium,51.0,No,4.0,Unhealthy,Low,3.0,Yes,Negative,No,No,Kinesthetic,,Yes,Low,1.0,,
22.0,,Graduate,30000.0,A,72.0,,13.0,Engineering,Public,High,,No,Medium,High,Medium,Negative,,99.0,No,8.0,Healthy,Low,,,Negative,No,No,Auditory,No,Yes,Low,2.0,Low,C
22.0,F,College,60000.0,A,79.0,Low,15.0,Business,Private,High,Low,No,High,Low,Medium,Positive,,44.0,Yes,9.0,,High,,No,Positive,Yes,No,Kinesthetic,Yes,Yes,Medium,,Low,C
,F,Graduate,75000.0,C,78.0,Medium,8.0,Arts,Public,Low,High,Yes,Low,Low,High,Positive,High,91.0,No,8.0,,Low,7.0,No,Negative,,Yes,Auditory,No,Yes,High,6.0,Low,C
18.0,M,College,30000.0,,76.0,Low,9.0,Science,Private,Low,Low,Yes,High,High,Low,Positive,Low,37.0,No,4.0,Balanced,Medium,9.0,,Neutral,Yes,Yes,Kinesthetic,No,No,Medium,3.0,Medium,A
,M,Graduate,40000.0,B,89.0,High,15.0,Medicine,Public,Medium,Medium,Yes,High,Low,High,Negative,Low,60.0,Yes,8.0,Healthy,High,4.0,No,Positive,Yes,No,Visual,Yes,No,High,5.0,High,C
19.0,F,Some College,60000.0,,79.0,High,16.0,Arts,Public,,Medium,Yes,Low,Low,,Positive,High,53.0,Yes,4.0,Balanced,,,No,Neutral,No,No,Visual,Yes,No,Medium,1.0,High,C
19.0,F,College,60000.0,B,95.0,High,15.0,Science,Private,Medium,Low,No,,Medium,Medium,Neutral,Medium,87.0,Yes,9.0,,High,2.0,No,Positive,No,Yes,Visual,Yes,Yes,Medium,,Medium,A
20.0,M,Some College,60000.0,B,79.0,,17.0,Medicine,Private,High,Low,Yes,Low,High,Low,,High,23.0,Yes,6.0,Unhealthy,,,Yes,Negative,Yes,Yes,Kinesthetic,No,Yes,,6.0,,B
,M,Some College,30000.0,,85.0,Medium,,Business,Public,Medium,Low,,High,,High,Neutral,Medium,81.0,,9.0,Balanced,Medium,2.0,No,,No,Yes,Auditory,Yes,Yes,Low,2.0,Low,A
,F,,,C,71.0,Low,,Arts,Private,Low,Medium,No,Medium,Medium,Medium,Neutral,Low,24.0,Yes,8.0,Healthy,,4.0,Yes,,No,,Auditory,No,No,Low,2.0,Low,C
20.0,,Some College,,A,95.0,Low,15.0,Science,Public,High,Low,No,Medium,Low,Medium,Negative,Low,78.0,Yes,8.0,Healthy,Low,7.0,No,Negative,No,Yes,Visual,No,No,Medium,4.0,High,C
20.0,M,Graduate,50000.0,A,75.0,High,15.0,Medicine,Public,Medium,Low,,Medium,High,Medium,Negative,High,44.0,No,7.0,Balanced,High,6.0,Yes,,No,No,Auditory,No,Yes,High,4.0,Medium,B
22.0,M,High School,50000.0,A,77.0,Medium,19.0,Medicine,Public,High,Low,No,Medium,High,Medium,Negative,Medium,59.0,Yes,6.0,Balanced,High,8.0,Yes,Neutral,No,Yes,Visual,,Yes,Medium,2.0,Medium,B
18.0,,High School,60000.0,B,80.0,High,19.0,Science,Private,Medium,Low,Yes,Medium,Low,Low,Negative,High,29.0,No,6.0,Unhealthy,Medium,2.0,Yes,Negative,No,Yes,Kinesthetic,No,No,High,2.0,Medium,C
19.0,F,College,75000.0,C,,Medium,17.0,,Public,Medium,High,No,Medium,High,,Neutral,High,,No,7.0,Unhealthy,Medium,6.0,No,Neutral,No,No,Kinesthetic,No,No,High,2.0,Medium,B
,M,College,75000.0,C,72.0,High,11.0,Law,Private,High,Medium,No,High,Medium,Medium,Negative,Low,77.0,Yes,7.0,Unhealthy,Medium,6.0,,Neutral,Yes,Yes,,No,,High,6.0,Medium,C
19.0,F,Some College,60000.0,B,,Low,20.0,Engineering,Private,Medium,High,No,Medium,,Low,Neutral,High,43.0,No,8.0,Unhealthy,High,2.0,Yes,Negative,No,,,No,,Medium,5.0,Medium,C
18.0,M,High School,40000.0,B,88.0,Medium,14.0,Science,Private,Low,Medium,No,Medium,High,Low,Neutral,,69.0,Yes,4.0,Healthy,Low,3.0,No,Negative,Yes,No,Kinesthetic,Yes,Yes,Medium,6.0,Medium,C
18.0,M,Graduate,30000.0,B,100.0,Low,14.0,,Private,Medium,Medium,No,Medium,Low,Medium,Neutral,High,82.0,Yes,7.0,Healthy,Medium,3.0,Yes,Neutral,Yes,,Visual,No,,Medium,5.0,High,B
21.0,M,Some College,75000.0,A,73.0,Low,14.0,Arts,Private,Low,Medium,No,Medium,Low,Low,Negative,,46.0,Yes,,Unhealthy,High,2.0,Yes,Negative,,No,Kinesthetic,No,No,Low,3.0,Low,A
19.0,M,Graduate,40000.0,C,74.0,Low,19.0,Engineering,Public,Medium,High,Yes,High,Low,Medium,,High,56.0,Yes,7.0,Healthy,High,8.0,Yes,Positive,Yes,,Kinesthetic,No,No,High,5.0,Medium,B
20.0,F,,30000.0,B,88.0,High,9.0,Arts,Public,Medium,Low,Yes,High,Low,Medium,Positive,High,,No,,Healthy,Low,7.0,Yes,Positive,No,No,Visual,No,No,,4.0,Medium,A
,M,Graduate,30000.0,C,84.0,High,14.0,Medicine,Private,Low,,No,Low,Low,High,Neutral,High,82.0,No,6.0,Balanced,Low,8.0,,Positive,Yes,Yes,Kinesthetic,Yes,Yes,Medium,6.0,Medium,A
19.0,F,High School,60000.0,A,70.0,Medium,8.0,Law,Public,High,High,No,Low,Medium,High,Positive,High,90.0,No,4.0,Healthy,,3.0,No,Positive,Yes,Yes,,Yes,Yes,Low,5.0,Medium,C
18.0,M,Graduate,40000.0,,,Medium,18.0,Law,,Low,Low,No,High,Medium,Medium,Positive,Medium,44.0,Yes,5.0,Unhealthy,High,4.0,No,Negative,Yes,No,Visual,Yes,Yes,High,5.0,Low,A
,F,Some College,40000.0,A,71.0,Low,6.0,Business,,Low,High,,Medium,Low,Low,Positive,Medium,30.0,,,Balanced,Low,9.0,,Positive,Yes,Yes,Visual,Yes,Yes,Low,5.0,High,A
19.0,M,High School,60000.0,A,,High,15.0,Science,,Medium,High,,High,High,Low,Negative,Low,67.0,No,6.0,Balanced,Low,10.0,No,Negative,No,Yes,Kinesthetic,No,No,Low,3.0,,A
21.0,M,College,,A,74.0,Low,11.0,Medicine,Private,Low,Low,Yes,High,Medium,Low,Negative,,,No,5.0,Unhealthy,Low,3.0,Yes,Neutral,No,Yes,Visual,No,Yes,Low,1.0,,B
19.0,M,Graduate,40000.0,B,94.0,High,16.0,Science,Private,Low,High,Yes,,Low,Low,Positive,,79.0,No,8.0,Balanced,High,5.0,No,Negative,Yes,Yes,Auditory,No,No,Medium,3.0,High,B
21.0,M,Graduate,,B,70.0,,10.0,Law,Public,Low,High,No,High,Medium,,Positive,High,62.0,No,5.0,Unhealthy,Medium,3.0,No,Negative,No,Yes,Kinesthetic,No,No,Low,,Medium,B
20.0,M,Some College,75000.0,A,,Low,9.0,Science,Private,Medium,High,No,,Medium,Low,Positive,Low,42.0,No,5.0,Healthy,Medium,7.0,No,Neutral,Yes,No,Auditory,No,No,Medium,4.0,Low,A
22.0,M,Graduate,50000.0,C,85.0,,,Science,Private,Medium,High,No,,High,,Neutral,,33.0,No,4.0,Unhealthy,Low,6.0,Yes,Negative,Yes,No,Visual,No,Yes,Medium,5.0,,A
19.0,M,Graduate,60000.0,A,73.0,Medium,12.0,Engineering,Private,Low,Low,Yes,Medium,High,High,Positive,Medium,75.0,Yes,5.0,Balanced,Medium,6.0,Yes,Neutral,,No,,Yes,Yes,High,3.0,Low,B
18.0,M,Some College,75000.0,,71.0,Low,18.0,Law,Private,Low,Medium,Yes,High,Low,Medium,Neutral,High,,No,9.0,Balanced,High,6.0,No,Neutral,Yes,,Kinesthetic,No,No,High,1.0,Medium,B
,F,College,40000.0,,72.0,Medium,,Science,Public,Low,,,Low,Medium,High,Positive,Low,53.0,No,,Balanced,High,3.0,No,Neutral,Yes,No,Auditory,Yes,No,Medium,3.0,Low,C
,F,College,40000.0,A,74.0,Low,10.0,Medicine,Private,High,High,,Medium,Medium,Low,Negative,Medium,56.0,Yes,8.0,Balanced,High,8.0,No,Positive,No,No,,Yes,No,Low,1.0,Medium,B
22.0,F,Graduate,60000.0,A,72.0,Medium,18.0,Science,Public,,Medium,No,High,High,Medium,,High,85.0,Yes,,Balanced,Low,10.0,No,Positive,No,,Visual,No,Yes,Low,,High,A
21.0,F,High School,50000.0,,74.0,Low,7.0,Engineering,Public,Medium,Medium,No,High,High,High,Neutral,High,97.0,Yes,6.0,Balanced,Low,2.0,Yes,,Yes,No,Visual,Yes,Yes,,6.0,Medium,B
18.0,F,Graduate,60000.0,C,78.0,Low,15.0,Arts,Public,Low,Low,Yes,Medium,High,Low,Positive,Low,85.0,Yes,6.0,,Low,10.0,Yes,Positive,No,Yes,Auditory,Yes,Yes,Low,4.0,High,C
22.0,M,,75000.0,A,74.0,Low,16.0,Law,Public,Low,Low,No,High,Low,Low,Neutral,Medium,95.0,Yes,6.0,Healthy,High,8.0,Yes,Positive,Yes,Yes,Auditory,No,Yes,Medium,1.0,Medium,C
22.0,M,Graduate,60000.0,B,87.0,Low,10.0,Science,Private,High,High,,Medium,Low,Low,Positive,Medium,44.0,Yes,6.0,Healthy,Medium,5.0,No,Negative,No,Yes,Auditory,No,No,Medium,6.0,High,
,M,College,30000.0,B,76.0,High,19.0,Law,Public,Low,High,Yes,High,Medium,Low,Negative,Low,31.0,No,,Unhealthy,Low,3.0,Yes,Neutral,No,Yes,Auditory,Yes,No,Medium,3.0,Medium,B
19.0,M,High School,75000.0,B,71.0,High,19.0,,Private,,High,Yes,Medium,High,High,Positive,,26.0,Yes,7.0,Healthy,High,4.0,No,Positive,No,No,Kinesthetic,No,No,Medium,5.0,,B
20.0,M,High School,60000.0,C,71.0,High,9.0,Science,Private,Low,High,Yes,Low,Medium,,Neutral,High,91.0,No,6.0,Unhealthy,High,6.0,No,Negative,Yes,No,Auditory,No,No,,3.0,Medium,A
22.0,,College,30000.0,A,83.0,Low,13.0,Medicine,Private,High,Low,No,Medium,Low,High,Negative,Medium,30.0,No,8.0,Balanced,Medium,10.0,No,Positive,No,Yes,Auditory,,Yes,Medium,6.0,High,A
19.0,F,Graduate,40000.0,C,77.0,High,6.0,Engineering,Private,Low,Medium,Yes,High,High,Low,Neutral,High,27.0,Yes,6.0,Balanced,Low,2.0,,Positive,Yes,No,Auditory,No,No,Low,2.0,,
18.0,M,College,50000.0,C,,Medium,18.0,Law,Private,Medium,,Yes,High,Medium,High,Positive,Medium,96.0,,8.0,Unhealthy,Medium,,Yes,Negative,Yes,No,Visual,Yes,No,Low,2.0,Medium,B
19.0,F,Some College,50000.0,A,80.0,Medium,20.0,Science,Public,Medium,Low,Yes,,,Medium,Neutral,High,39.0,Yes,6.0,,,,No,,No,No,Auditory,Yes,,High,2.0,Low,A
18.0,M,College,30000.0,,74.0,High,6.0,Law,,Low,Medium,,High,Low,Low,Positive,High,72.0,No,5.0,Healthy,Low,10.0,,Negative,,No,Kinesthetic,Yes,No,Medium,,Low,A
18.0,M,College,40000.0,C,74.0,High,20.0,,Private,Medium,,No,High,Medium,High,,Low,96.0,No,,Balanced,Medium,9.0,Yes,Negative,,No,Auditory,No,Yes,Low,5.0,High,C
18.0,,College,75000.0,C,77.0,Low,7.0,Engineering,Private,,Low,Yes,High,Medium,Medium,Negative,,85.0,Yes,7.0,Unhealthy,Medium,8.0,No,Neutral,Yes,No,Kinesthetic,Yes,Yes,Low,5.0,Low,A
22.0,F,Graduate,40000.0,C,77.0,High,16.0,Medicine,Public,Low,Low,No,Medium,,Low,Neutral,Low,44.0,No,5.0,,Medium,2.0,Yes,Negative,No,No,Auditory,Yes,No,,6.0,Low,A
