Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,stream,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
18,,,40000,,99,High,13,Engineering,Public,Medium,High,Yes,High,Medium,High,Neutral,Medium,83,No,6,Balanced,High,4,No,Neutral,No,No,Kinesthetic,No,No,Medium,5,High,B
20,M,Graduate,30000,B,95,Medium,,Law,Private,Medium,High,Yes,High,,Low,Positive,Medium,45,No,5,Balanced,Medium,9,No,Neutral,No,Yes,Visual,,No,Medium,2,Medium,C
21,F,Some College,30000,C,79,Medium,11,Business,Private,Low,Medium,No,Medium,Low,High,Positive,Medium,49,Yes,7,,Low,2,Yes,Positive,Yes,Yes,Visual,Yes,No,Low,,Medium,B
19,F,Some College,30000,,86,High,15,Science,Public,Medium,Low,Yes,Low,Low,Medium,Neutral,Low,70,Yes,4,Balanced,,10,No,Negative,No,No,Auditory,Yes,Yes,Low,4,High,
22,M,,60000,A,72,Low,8,Engineering,Private,Low,,Yes,High,Low,High,Negative,High,20,,4,Balanced,Low,7,,,No,,,Yes,No,Medium,5,Medium,A
18,F,Some College,75000,B,75,Low,7,Engineering,Private,Medium,Medium,Yes,,Medium,Medium,Positive,Low,48,No,6,Balanced,High,5,Yes,Negative,No,Yes,Visual,Yes,Yes,Medium,2,Medium,B
22,M,,40000,B,76,Medium,17,Medicine,Private,Low,Low,Yes,High,Medium,Low,Neutral,Low,36,Yes,,,Low,4,No,Positive,No,No,Kinesthetic,Yes,,High,5,Low,B
21,M,,50000,B,83,Low,14,Law,Private,,Medium,,Low,Medium,Medium,Negative,Medium,72,No,4,Unhealthy,High,3,Yes,Positive,Yes,No,Kinesthetic,No,Yes,Medium,,Low,B
,M,Graduate,60000,A,87,Medium,6,Arts,Private,Low,High,No,,Low,Medium,Negative,Medium,23,No,5,Unhealthy,Low,10,Yes,Neutral,Yes,Yes,Kinesthetic,No,No,Low,1,High,A
20,M,High School,60000,B,74,High,8,Law,Private,Medium,Medium,No,Medium,Medium,,Neutral,High,86,Yes,9,Unhealthy,High,9,Yes,Positive,Yes,No,Auditory,Yes,Yes,Low,2,Low,
22,F,Some College,40000,A,73,Low,6,,Public,Medium,Low,No,Low,High,Medium,Neutral,Medium,42,Yes,,Balanced,Medium,4,No,Neutral,No,No,Auditory,Yes,Yes,Medium,1,Medium,
19,F,College,40000,B,87,Medium,17,Arts,Private,,High,Yes,Low,Medium,Medium,,High,83,Yes,4,Balanced,Medium,4,,,No,,Auditory,No,Yes,Low,5,,B
19,F,Some College,75000,A,83,High,20,,Private,Low,Medium,No,Medium,High,High,Positive,,55,No,8,Healthy,High,8,No,Positive,No,No,Auditory,Yes,Yes,High,2,,A
20,F,Graduate,60000,A,,Low,17,Arts,Private,High,Medium,No,Low,Medium,Medium,Positive,,59,Yes,9,Unhealthy,High,3,Yes,Negative,Yes,Yes,Kinesthetic,,No,Low,1,High,
20,F,College,,,98,Low,11,,Public,Low,Low,No,Low,Medium,Low,Negative,Low,86,No,5,Balanced,Low,8,Yes,Negative,No,No,Visual,Yes,,Low,1,High,B
20,F,Some College,60000,B,83,Medium,12,Science,Public,High,Medium,Yes,Low,,Medium,Positive,Low,52,,6,Balanced,Low,,Yes,Negative,No,No,Kinesthetic,No,No,Low,5,Medium,C
20,F,,75000,A,71,Medium,15,Business,,,Medium,Yes,High,Low,Medium,Positive,Medium,54,No,4,Balanced,Low,,,Neutral,Yes,Yes,Kinesthetic,Yes,No,,5,High,A
18,,Graduate,30000,A,87,High,5,Business,Private,Low,Low,Yes,,High,Medium,,Low,79,Yes,4,Unhealthy,Medium,2,Yes,Negative,Yes,Yes,Kinesthetic,No,No,High,6,Medium,A
21,M,College,40000,B,,Low,19,Business,Public,Low,,Yes,High,Medium,High,Positive,Medium,56,,4,Healthy,Medium,2,Yes,Positive,,No,,Yes,No,Low,5,Low,C
18,F,Some College,40000,,96,Low,,Law,Private,Medium,,Yes,Low,High,High,Negative,Medium,22,No,6,Balanced,Low,6,No,Positive,No,Yes,Auditory,Yes,No,Low,5,High,A
20,M,College,50000,B,95,High,,Law,Private,High,Medium,Yes,Low,Low,High,Neutral,High,54,Yes,4,,High,7,No,Positive,No,No,Auditory,No,,,2,High,C
19,M,Some College,30000,B,,High,12,Engineering,Public,Medium,Low,No,Low,Medium,High,Negative,Medium,35,No,7,Balanced,Low,7,No,Positive,No,No,Kinesthetic,No,No,High,1,Low,A
22,M,Some College,60000,B,97,High,11,,Private,Low,Medium,Yes,High,Low,,Negative,Low,59,No,8,Balanced,Medium,6,No,Negative,No,Yes,,No,Yes,Low,4,,B
,F,Some College,30000,A,87,Low,13,Medicine,Private,High,Low,Yes,,High,Medium,Neutral,Low,73,Yes,5,Unhealthy,Low,8,Yes,Neutral,Yes,No,Kinesthetic,No,No,Medium,4,Low,
22,F,High School,,A,93,Medium,9,Business,Private,High,High,Yes,Low,High,Low,Positive,Medium,63,No,,,Low,3,Yes,Negative,No,No,Auditory,No,Yes,Low,2,Medium,A
20,M,High School,30000,B,82,Medium,9,Medicine,Public,Low,Low,No,Medium,Medium,Low,Positive,High,36,Yes,6,Healthy,,3,No,Positive,Yes,No,Visual,Yes,No,High,,High,A
,,Graduate,60000,C,98,Low,10,Arts,,,High,Yes,Medium,High,Medium,Positive,Medium,82,No,4,Healthy,High,10,Yes,,No,Yes,Visual,Yes,No,High,3,High,A
19,F,Some College,75000,B,82,Low,9,Science,Public,Low,High,,Medium,Medium,High,,Low,42,Yes,9,Balanced,Medium,4,Yes,Positive,No,No,Kinesthetic,,Yes,Low,4,High,C
18,F,Graduate,75000,A,72,Medium,12,Business,Private,Medium,Low,No,Low,High,High,Positive,,96,No,7,Healthy,High,9,Yes,Negative,No,,Kinesthetic,No,No,High,2,Low,B
22,F,Some College,,,89,Medium,19,Business,Private,Low,High,No,Medium,Low,Low,Neutral,High,23,No,9,Unhealthy,,10,No,Negative,No,No,Visual,No,Yes,Medium,6,Medium,C
19,M,College,60000,B,87,Low,18,Science,Private,Medium,Low,,High,Medium,High,Positive,High,36,No,,Unhealthy,High,5,No,Negative,Yes,No,Auditory,,No,Low,1,Low,
20,F,Some College,40000,B,,,14,Law,Public,Medium,Medium,No,Low,High,High,Neutral,Medium,24,No,9,Balanced,Low,7,Yes,Negative,No,No,,No,No,Medium,5,,A
19,M,High School,75000,A,72,,6,Medicine,Private,High,,Yes,High,High,High,,High,81,No,4,Balanced,High,4,No,Negative,No,Yes,Visual,Yes,Yes,High,4,Low,A
19,F,Graduate,30000,A,72,High,5,Medicine,Public,High,Low,Yes,High,High,,Neutral,Medium,66,Yes,7,Balanced,High,7,Yes,Neutral,,Yes,Visual,Yes,Yes,Medium,2,Low,A
22,F,Graduate,40000,B,78,Low,7,Medicine,Private,High,High,Yes,,High,Medium,Neutral,Low,23,No,7,Unhealthy,,4,No,Negative,No,Yes,Kinesthetic,No,Yes,Medium,2,Medium,B
,,Some College,50000,C,99,,7,Medicine,,Low,High,Yes,High,High,Medium,Neutral,High,30,No,4,,High,10,No,Positive,Yes,No,Visual,No,No,High,6,Low,A
22,F,Some College,,C,76,High,12,Medicine,,High,Medium,Yes,Low,High,High,Positive,Low,84,Yes,8,Balanced,High,4,Yes,Neutral,No,No,Visual,Yes,No,High,1,Medium,B
20,M,High School,30000,,86,Low,19,Medicine,,Low,Medium,Yes,Medium,Medium,Medium,Negative,Medium,,Yes,7,Healthy,Low,10,No,Positive,Yes,Yes,,Yes,Yes,Medium,5,Low,C
19,F,College,30000,A,88,Low,12,Law,Public,Medium,Medium,No,,Low,Low,Negative,High,75,No,5,Healthy,Low,6,Yes,Neutral,Yes,No,Kinesthetic,Yes,Yes,Low,,Low,A
22,M,Some College,60000,A,,High,5,Engineering,Public,Medium,Low,No,High,Low,Medium,Negative,High,66,Yes,5,Balanced,Low,6,Yes,Negative,No,No,Auditory,No,No,High,1,High,C
21,M,Some College,50000,,82,High,,Business,Public,Medium,High,Yes,Medium,Medium,Low,Neutral,Low,96,Yes,4,Balanced,Low,8,No,Negative,No,Yes,Visual,Yes,No,High,5,Medium,B
20,M,College,50000,C,74,High,18,Law,Private,Low,Low,Yes,Low,High,High,,Medium,33,No,7,Healthy,Medium,10,,Positive,Yes,,Auditory,Yes,No,Low,1,,
22,F,,40000,C,76,High,20,Law,Public,Medium,High,No,Medium,Low,High,Positive,Low,77,Yes,5,Unhealthy,High,5,No,Negative,No,,Visual,No,Yes,Medium,6,Medium,B
20,F,Some College,40000,B,100,Low,,Engineering,Private,High,Medium,Yes,Medium,High,Medium,Negative,Medium,53,No,8,Unhealthy,Medium,4,No,Negative,No,,Visual,No,Yes,Medium,5,High,C
19,,Some College,,B,100,,7,Engineering,,High,High,,Medium,Medium,Low,Positive,Low,54,,7,Balanced,Low,5,Yes,Neutral,,No,Visual,No,Yes,Low,6,Medium,A
,F,Some College,75000,B,75,Low,10,Engineering,Private,Low,High,Yes,Low,Low,Low,,Low,94,No,7,Balanced,High,8,Yes,,Yes,No,Kinesthetic,Yes,Yes,High,4,High,A
19,F,Some College,30000,B,70,Medium,19,Medicine,Private,Low,,No,High,Medium,Low,Neutral,Medium,76,,9,Balanced,Low,,,Positive,Yes,No,Auditory,Yes,No,Low,2,High,B
19,M,Graduate,50000,B,87,Low,19,Business,Public,,Low,Yes,Medium,,Low,Positive,,40,No,5,Balanced,Low,2,No,Negative,Yes,Yes,Auditory,Yes,Yes,,4,Low,A
18,M,College,75000,,,,14,Science,Private,,High,Yes,,,High,Neutral,Low,97,No,9,Unhealthy,Medium,2,Yes,Neutral,Yes,,Auditory,No,No,High,,Low,B
18,M,Graduate,40000,B,79,Medium,15,Medicine,Public,Medium,Medium,Yes,Medium,Low,High,Negative,Low,76,No,7,,Medium,8,No,Neutral,No,No,,Yes,,Medium,1,High,B
19,M,Graduate,,A,92,Low,5,,Public,,Low,No,Low,Medium,Low,Negative,High,74,Yes,7,Balanced,High,7,No,Positive,No,No,Kinesthetic,Yes,Yes,Low,2,High,A
21,F,,30000,,100,,20,Law,Private,High,,No,High,Low,High,Positive,Medium,76,Yes,7,Healthy,Low,10,Yes,Negative,No,No,,No,No,Medium,6,Medium,
,M,High School,30000,B,,Low,14,Medicine,Private,Low,Low,Yes,,Low,Low,Neutral,Low,57,No,8,Healthy,Low,,No,Positive,Yes,Yes,Visual,Yes,No,Medium,4,Medium,A
19,F,Some College,75000,B,86,Low,16,Arts,Private,Low,High,Yes,High,Medium,Medium,Neutral,Low,80,Yes,9,Balanced,Medium,7,Yes,Neutral,No,No,Visual,No,No,High,3,High,C
21,M,High School,30000,C,,High,14,Science,,Medium,Medium,No,Low,Medium,High,Negative,Low,69,Yes,5,Unhealthy,High,9,No,Positive,No,No,Auditory,No,No,High,6,Medium,B
18,F,Graduate,30000,B,92,Low,18,Medicine,Private,High,Low,No,High,High,High,Positive,High,59,Yes,8,Balanced,Medium,8,Yes,Negative,Yes,No,,Yes,No,High,3,High,A
22,M,Some College,75000,B,93,High,13,Science,,High,Low,Yes,Medium,Low,Medium,Positive,Medium,27,,4,Unhealthy,Low,5,Yes,Positive,,Yes,Visual,No,No,Low,3,Medium,B
21,F,High School,60000,A,81,,6,Law,Public,High,Low,No,High,High,,Neutral,Low,51,No,6,Healthy,High,8,No,Positive,Yes,No,Visual,Yes,No,High,5,High,C
22,M,High School,30000,B,93,Medium,15,Engineering,Public,Medium,Low,Yes,Low,Low,Medium,Positive,High,94,Yes,4,Balanced,Low,2,Yes,,Yes,No,Kinesthetic,Yes,No,High,1,Low,A
20,F,College,60000,C,94,High,20,Science,Public,Low,Low,No,Low,Low,Low,Positive,High,32,No,,Unhealthy,,4,Yes,Positive,No,,Kinesthetic,Yes,No,Low,6,,B
22,F,High School,30000,B,98,Low,6,Medicine,Private,,Low,No,High,,Medium,Positive,Medium,53,Yes,5,Balanced,Low,6,Yes,Neutral,Yes,No,,No,Yes,High,1,High,C
,F,Graduate,30000,C,91,High,16,Medicine,Private,High,Low,Yes,Low,High,Low,Negative,,80,No,4,,Medium,3,Yes,Neutral,No,Yes,Visual,Yes,Yes,Medium,5,,
21,F,High School,50000,C,99,Low,15,Law,Private,Low,Medium,No,Medium,Medium,High,Positive,Medium,83,No,9,Balanced,Medium,4,Yes,Negative,No,Yes,Auditory,No,Yes,High,5,Medium,B
21,,Graduate,40000,B,,,10,Medicine,Private,High,High,No,Low,Medium,Low,Positive,Medium,88,No,4,Unhealthy,High,3,Yes,Neutral,Yes,No,Auditory,No,No,,2,Low,A
19,F,High School,40000,B,94,Low,,Science,Public,Low,,Yes,Low,Low,High,Positive,Medium,39,Yes,9,Unhealthy,Low,6,No,Neutral,No,,Visual,,No,Medium,2,Medium,
20,M,,40000,C,72,,8,Engineering,,Low,Medium,No,Medium,,High,Negative,Low,52,Yes,8,Unhealthy,Low,5,,Positive,No,No,,No,,Medium,6,Medium,A
,,College,60000,C,71,Medium,19,Medicine,Public,Medium,Medium,No,High,Low,Low,Positive,High,44,Yes,4,Healthy,High,6,Yes,Negative,No,Yes,Visual,No,Yes,,2,Medium,B
19,F,Graduate,40000,A,79,Low,16,Business,Public,High,High,No,Low,,High,Neutral,Low,89,Yes,8,Healthy,High,2,Yes,Positive,No,Yes,Kinesthetic,No,No,Medium,6,Low,
22,M,Graduate,30000,C,72,High,14,Science,Private,Low,Medium,Yes,High,Medium,High,Positive,Medium,71,No,9,Unhealthy,Medium,,Yes,Negative,No,Yes,Visual,Yes,No,High,2,High,
21,F,Graduate,75000,C,,Medium,6,Arts,Private,Low,Low,No,Medium,High,High,Negative,High,26,No,8,Balanced,Low,8,,,Yes,Yes,Visual,No,No,Medium,1,High,C
19,M,Graduate,40000,B,71,High,16,Science,Public,High,High,Yes,,Low,High,,Low,45,No,9,Unhealthy,Low,3,No,Neutral,Yes,No,Visual,No,Yes,,3,High,B
22,M,,60000,B,100,High,12,Business,Public,Low,Low,Yes,,Low,Medium,Positive,Medium,,No,5,Healthy,,5,,Positive,Yes,No,Auditory,Yes,No,Low,6,Low,B
18,,Some College,50000,A,97,Low,18,Engineering,Private,Medium,Low,Yes,Medium,Low,Low,Positive,Low,46,Yes,7,Balanced,Low,8,No,Negative,Yes,No,Kinesthetic,Yes,Yes,,2,Low,B
21,M,,75000,A,88,Medium,14,Business,Private,Medium,High,,High,Low,Low,Positive,Medium,83,No,,Unhealthy,Low,9,,Neutral,No,No,Auditory,No,Yes,Low,1,High,C
21,F,College,30000,B,98,Medium,12,Law,Public,Low,High,Yes,Low,High,Low,Negative,Medium,55,No,,Balanced,High,7,Yes,Positive,Yes,No,Kinesthetic,No,Yes,Medium,2,Medium,C
,F,College,50000,B,82,Medium,8,Science,Private,High,Medium,,Low,Medium,Medium,Positive,Low,30,Yes,6,Unhealthy,Low,10,Yes,Neutral,,No,Kinesthetic,No,,Medium,1,Medium,B
19,M,High School,75000,C,78,,6,Engineering,Private,,Low,No,Medium,Low,Medium,Negative,Medium,83,Yes,4,Unhealthy,High,2,No,,No,Yes,Auditory,Yes,Yes,High,3,Low,A
19,M,Some College,75000,,73,High,9,Business,Public,Medium,Medium,No,Low,High,Medium,Positive,Medium,81,Yes,5,Healthy,High,6,No,Positive,Yes,No,Visual,No,Yes,Medium,6,Low,C
22,M,,40000,A,93,Low,9,Arts,Private,High,High,Yes,Low,Low,Low,Negative,High,97,No,9,Unhealthy,High,2,Yes,Positive,No,Yes,Auditory,No,Yes,High,4,Low,B
19,M,Graduate,60000,,87,Medium,20,Business,Private,High,High,No,Medium,Medium,Medium,Positive,Medium,20,,4,Healthy,High,4,Yes,Positive,No,No,Auditory,Yes,Yes,Medium,4,Low,
19,M,High School,60000,A,73,Low,15,Law,Private,Low,Low,Yes,Medium,Low,Low,Neutral,Medium,89,Yes,4,Unhealthy,High,3,Yes,Neutral,No,Yes,Auditory,Yes,No,Low,5,Medium,A
21,F,,75000,B,87,Medium,14,Engineering,Private,Low,Low,,Medium,Low,Low,Neutral,,92,No,4,Healthy,High,2,No,Neutral,Yes,Yes,Auditory,Yes,Yes,Low,1,Medium,A
22,F,Graduate,60000,C,86,High,13,Arts,Private,Medium,Low,,Medium,High,Medium,Positive,Low,61,No,6,,High,2,Yes,,Yes,Yes,Visual,Yes,Yes,Medium,3,Medium,C
21,M,Some College,50000,C,80,Low,18,Law,Private,Medium,Medium,No,Low,High,Medium,Negative,Low,56,No,4,Healthy,Low,8,Yes,Neutral,Yes,Yes,Kinesthetic,,Yes,High,3,Low,
18,M,College,30000,C,81,Medium,18,Business,Private,Low,Low,No,,High,Low,Neutral,Medium,40,No,5,Unhealthy,,6,Yes,Positive,Yes,No,Visual,No,Yes,Medium,2,Medium,B
20,F,Some College,60000,C,79,Medium,15,Law,Private,Low,High,No,High,High,Medium,Positive,Low,,Yes,8,,High,6,No,Positive,Yes,No,Kinesthetic,,No,Medium,,Low,C
21,M,College,,B,77,High,19,Arts,Public,Low,Medium,No,Medium,Low,Low,Negative,Medium,27,No,6,Healthy,Low,9,Yes,Positive,Yes,,Kinesthetic,Yes,No,High,5,,C
22,M,Some College,60000,A,92,Low,15,Law,Public,Low,High,No,Medium,Medium,Medium,Negative,Medium,66,Yes,7,Unhealthy,Low,6,No,Positive,No,No,Visual,,Yes,,4,High,B
19,M,Graduate,30000,C,80,Low,5,Medicine,Private,Low,High,Yes,Medium,Medium,High,Neutral,Medium,64,,8,Balanced,Low,7,No,Positive,No,Yes,,,Yes,Medium,2,Medium,C
21,M,College,60000,C,76,Low,,Science,Private,High,High,Yes,High,High,,Neutral,Medium,71,Yes,9,Unhealthy,Low,5,No,Negative,No,Yes,Visual,,Yes,Low,1,Low,C
20,F,High School,50000,B,98,Medium,10,Science,Public,Medium,Low,No,Medium,Medium,Low,,High,23,Yes,9,Balanced,Medium,8,,Neutral,No,Yes,Auditory,No,,High,4,Medium,B
21,F,,30000,C,71,Low,9,Science,Public,High,,No,Medium,Low,Low,Neutral,High,70,No,6,Unhealthy,Medium,,Yes,Neutral,,Yes,Visual,Yes,No,High,2,Medium,B
22,F,High School,40000,A,83,Low,8,Arts,Public,Low,High,No,Low,Low,Medium,Neutral,High,93,No,8,Healthy,Low,2,No,Positive,No,Yes,Kinesthetic,No,Yes,High,2,Low,B
,M,High School,75000,A,75,Medium,6,Business,Private,Low,Low,No,Low,,Medium,Negative,Medium,,No,6,Healthy,High,6,No,Negative,Yes,,,Yes,Yes,Low,1,Low,C
22,F,Graduate,40000,A,74,Medium,19,Medicine,Public,High,,No,,Medium,Medium,Positive,Medium,95,No,8,Unhealthy,High,,No,Negative,No,No,Auditory,Yes,Yes,Medium,4,High,A
22,M,College,50000,C,89,Low,11,Arts,Public,Medium,Medium,No,Medium,High,Low,Neutral,,31,No,,Healthy,Low,5,,Positive,Yes,Yes,Auditory,,Yes,High,,Medium,C
21,M,Graduate,75000,B,98,Medium,11,Science,Public,Medium,Medium,Yes,High,,Medium,Negative,Low,41,Yes,,Healthy,,6,Yes,Positive,Yes,Yes,Auditory,No,Yes,Medium,5,High,A
18,M,High School,60000,A,79,Medium,19,Science,Public,High,Medium,Yes,High,Low,Low,Negative,Medium,69,No,9,Balanced,Medium,5,Yes,Positive,,Yes,Kinesthetic,No,Yes,Medium,6,High,C
19,M,Some College,75000,B,96,High,7,Science,Public,High,High,Yes,,High,High,Negative,Medium,72,Yes,,Balanced,Medium,5,No,Positive,Yes,,Auditory,Yes,No,High,,,A
20,F,High School,40000,A,81,Medium,16,Medicine,Public,Low,High,Yes,,Low,Low,Positive,Medium,42,Yes,7,,Low,,Yes,Neutral,No,Yes,Auditory,,Yes,High,1,Medium,A
21,M,High School,60000,C,96,Medium,16,Arts,,,Low,Yes,High,Low,High,Neutral,,,No,6,Healthy,,3,No,Positive,Yes,Yes,Visual,No,No,High,1,High,
19,F,Graduate,50000,,88,Medium,11,Business,Public,Low,Low,No,Medium,Medium,Medium,Neutral,High,67,Yes,7,Unhealthy,Low,7,No,Neutral,No,No,Auditory,,Yes,High,1,Medium,A
22,F,Graduate,60000,B,100,High,17,,Private,Low,Medium,Yes,Medium,Low,Medium,Negative,Low,92,No,6,Unhealthy,High,7,No,Negative,No,No,Auditory,Yes,,High,5,High,A
21,M,Some College,30000,B,77,Low,16,Law,Public,Low,,Yes,Low,High,Low,Negative,High,,No,6,Healthy,Low,,No,Neutral,No,Yes,Visual,No,No,Low,1,Low,A
21,F,College,75000,A,86,High,17,Arts,Private,Medium,Medium,No,High,High,High,Negative,Low,67,Yes,5,Unhealthy,Medium,3,No,Neutral,No,No,Visual,Yes,Yes,Low,1,Low,A
19,M,Some College,40000,C,97,High,5,Engineering,Public,,High,Yes,Low,Low,High,Neutral,,86,Yes,4,Balanced,Low,5,No,Positive,Yes,No,Auditory,No,,Low,3,Medium,A
22,F,Graduate,40000,C,83,Low,8,Business,Private,Low,Medium,No,,Medium,Medium,Positive,Medium,28,,4,Unhealthy,High,,Yes,Negative,No,Yes,Kinesthetic,No,No,Medium,6,Medium,C
22,M,Some College,40000,,94,Medium,17,Science,Public,Low,Medium,No,,Medium,Medium,Negative,High,90,Yes,7,,High,10,No,Negative,Yes,No,Visual,No,No,,2,Low,A
20,M,Graduate,50000,A,96,Medium,6,Medicine,Public,High,High,Yes,Medium,Medium,Low,Positive,Low,21,No,7,Healthy,High,,Yes,Negative,Yes,No,Auditory,No,No,Low,,High,B
18,F,Graduate,75000,,73,High,18,Arts,Private,Low,Medium,Yes,,High,Medium,Positive,Medium,79,Yes,8,Healthy,Low,4,No,Positive,Yes,Yes,Kinesthetic,Yes,,Medium,,Low,C
20,,College,60000,A,94,Medium,14,Science,Private,Medium,Low,Yes,High,Medium,Low,Negative,Medium,71,Yes,8,Healthy,Medium,6,No,Neutral,No,Yes,Auditory,No,Yes,High,3,High,B
21,M,Graduate,30000,B,95,Medium,9,Law,Public,,Low,No,Medium,High,,Negative,High,56,Yes,9,Balanced,High,9,Yes,Neutral,No,,Visual,,No,Low,2,High,A
19,M,Some College,60000,,70,Low,10,Law,Public,Medium,Medium,No,High,Medium,Low,Neutral,,21,Yes,4,,Low,5,Yes,Positive,Yes,No,Visual,No,Yes,,2,Medium,B
19,F,Some College,75000,A,92,Low,15,Medicine,Private,Medium,High,Yes,Low,High,Medium,Positive,Medium,41,No,6,Healthy,Low,8,No,Negative,No,Yes,Kinesthetic,No,Yes,High,6,High,C
20,M,Some College,30000,A,80,Medium,14,Science,Private,,Low,Yes,Medium,Low,High,Positive,,25,,9,Unhealthy,Medium,10,Yes,Positive,Yes,Yes,Visual,Yes,Yes,High,2,Low,B
20,M,Graduate,60000,C,90,Medium,15,Arts,Private,High,High,Yes,Medium,High,,,High,32,No,,Balanced,Low,4,Yes,Neutral,Yes,Yes,Visual,Yes,Yes,High,1,High,B
21,M,College,40000,,75,High,13,Law,Public,Low,Low,,Low,High,Low,Negative,High,51,No,4,Healthy,High,5,Yes,Neutral,,,Visual,No,,Medium,6,Low,C
19,F,College,40000,B,83,Medium,8,,,High,High,Yes,Medium,Low,High,Negative,Medium,51,No,6,Unhealthy,,5,No,Positive,No,No,,No,Yes,Low,2,High,C
18,F,Some College,30000,B,100,Medium,17,Arts,Private,Low,High,Yes,High,High,High,Negative,Medium,25,,6,Healthy,Medium,4,No,,No,No,,No,Yes,Medium,6,Low,A
21,F,High School,30000,A,98,High,12,Law,Public,Low,Medium,No,Medium,Medium,Low,Negative,Medium,82,No,6,Healthy,High,9,Yes,Positive,No,,Kinesthetic,Yes,No,Low,5,,
20,M,Graduate,75000,B,70,Low,9,Science,Private,Low,Medium,No,Medium,Low,High,,Low,62,No,8,Healthy,High,2,Yes,Positive,No,,Visual,,No,Low,1,Medium,C
19,F,Graduate,50000,C,99,Medium,15,Arts,Public,Medium,High,No,Medium,Medium,High,Positive,Medium,57,No,8,,High,2,Yes,Neutral,No,No,Auditory,No,No,Medium,2,Medium,A
21,M,College,60000,C,81,High,16,Science,Private,Low,Low,,High,High,Medium,Negative,Medium,65,No,5,Unhealthy,Medium,10,Yes,Neutral,No,No,Auditory,No,Yes,Low,6,,C
22,M,High School,30000,,98,,15,Arts,Public,,Medium,,Medium,High,Medium,Positive,Medium,55,Yes,7,Balanced,Low,2,Yes,Negative,Yes,Yes,Visual,Yes,Yes,High,2,Medium,
21,F,College,50000,B,87,Medium,20,Arts,Private,Medium,High,No,Low,Medium,Low,Neutral,High,43,Yes,6,Balanced,,2,No,Negative,No,No,Kinesthetic,,No,High,1,Low,A
,F,,30000,B,88,Low,7,Engineering,Public,,Medium,Yes,Medium,Low,Low,Neutral,High,37,No,7,Unhealthy,High,2,No,Positive,Yes,Yes,Visual,No,Yes,High,,Medium,C
21,M,College,50000,,87,Medium,5,Business,Public,High,Medium,Yes,Medium,High,Low,Neutral,Low,21,Yes,4,Balanced,,7,Yes,Negative,No,No,Auditory,Yes,Yes,Medium,,Medium,B
20,M,College,60000,A,72,Medium,8,Arts,Private,Low,,Yes,Low,Low,Medium,Negative,Medium,91,Yes,4,Balanced,Medium,2,Yes,Positive,Yes,No,Kinesthetic,No,No,Low,6,Medium,B
18,M,Graduate,30000,A,78,Low,,,Private,Medium,,No,Low,,High,Neutral,Medium,20,Yes,,Balanced,Medium,,No,Neutral,Yes,Yes,Visual,No,,High,4,Low,B
20,,College,60000,C,78,Medium,7,Medicine,Private,Low,Medium,Yes,High,Medium,Low,Neutral,High,68,Yes,4,Unhealthy,Medium,9,Yes,Neutral,,No,Kinesthetic,Yes,No,High,3,Medium,
18,F,Graduate,60000,C,,Low,20,Medicine,Public,Low,Medium,Yes,,High,High,,High,,Yes,4,Balanced,,9,No,Negative,Yes,Yes,Visual,,Yes,High,1,High,A
22,M,High School,30000,C,90,Medium,9,Law,Public,,High,Yes,Medium,High,Low,Positive,High,38,No,4,Balanced,High,10,No,Neutral,No,Yes,Auditory,No,No,Medium,6,High,
22,F,College,30000,A,72,Low,13,Law,Public,Low,High,Yes,Low,Medium,Medium,Positive,Low,69,Yes,8,Unhealthy,Low,,No,Positive,Yes,No,Visual,Yes,,Medium,4,High,A
18,F,Graduate,50000,A,92,Medium,7,Business,Private,Low,Low,Yes,Medium,Low,High,Negative,Low,65,Yes,7,Healthy,Medium,5,,Positive,No,,Auditory,Yes,Yes,High,6,Low,B
21,F,College,75000,B,93,High,7,Medicine,Public,Low,High,Yes,,Medium,High,Negative,High,67,Yes,5,Healthy,Low,10,No,Positive,No,Yes,Visual,No,Yes,Low,2,High,A
20,M,Some College,,C,90,,19,Business,Public,Low,Low,No,,Low,Medium,Neutral,High,40,Yes,7,Unhealthy,High,4,Yes,Neutral,No,No,Kinesthetic,No,No,Medium,4,Medium,A
19,F,,30000,C,,High,20,Business,Public,Medium,Low,No,High,High,Low,Neutral,High,32,No,5,Balanced,Medium,10,No,Positive,Yes,Yes,Auditory,Yes,Yes,High,4,High,A
19,F,High School,40000,C,83,High,,Arts,Public,High,Medium,Yes,Low,Low,High,Negative,Low,90,No,4,,High,7,No,,No,No,,Yes,No,,1,Medium,C
,M,High School,50000,C,98,Medium,7,Law,Private,Low,Low,,,Medium,Low,Neutral,High,35,No,7,Healthy,Low,5,Yes,Positive,Yes,No,Visual,Yes,Yes,,5,Low,A
22,M,Some College,40000,B,88,Low,12,Business,Public,Medium,Low,,High,,Medium,Neutral,Low,38,No,4,Balanced,,8,Yes,Negative,No,No,Visual,No,Yes,High,1,Medium,B
